stop_name,route_id
hakati road,74
hakati road,75
hakati road,76
hakati road,76A
hakati road,77
hakati road.,81
hakati road,82
hakati road,83
hakati road,84
hakati road,85
hakati road,87
hakati road,89
hakati road,89B
hazina,17
hazina,57
hazina,63
hazina,63A
heshima avenue,28
heshima avenue,31
heshima avenue,48
hospital road,13
hospital road,16
hospital road,2A
hospital road,3
hospital road,30A
hospital road,34
hospital road,35
hospital road,36A
hurligham,11
hurligham,12
hurligham,5
huruma,14
huruma,3
huruma,33A
huruma,55
huruma road,32
icea,1
icea,11
icea,12
icea,16
icea,24
icea,27
icea,32
icea,42
icea,71
ikinu,87
ilri round about,49
ilri round about,49A
ilri round about,83
isaac gathanju road,43
isaac gathanju road,45
jacaranda,20
jacaranda,44
james gichuru road,43
james gichuru road,45
james gichuru road,59
james gichuru road,59A
jericho,23
jevanjee gardens,15
jevanjee gardens,22
jevanjee gardens,30
jevanjee gardens,37
jevanjee gardens,38
jevanjee gardens,49A
jevanjee gardens,6
jevanjee gardens,62
jevanjee gardens,7
jevanjee gardens,8
jevanjee gardens,86
jogoo road,12
jogoo road,13
jogoo road,2
jogoo road,20
jogoo road,23
jogoo road,27
jogoo road,27A
jogoo road,28
jogoo road,2A
jogoo road,30
jogoo road,36
jogoo road,43
jogoo road,44
jogoo road,47
jogoo road,48
jogoo road,49
jogoo road,49A
jogoo road,50
jogoo road,51
jogoo road,53
jogoo road,58
jogoo road,65
jogoo road,7
joseph kangethe road,20
juja,19A
juja,40
juja,75
juja,78
juja,79
juja,80
juja,82
juja road,11
juja road,22
juja road,3
juja road,32
juja road,33A
juja road,41
juja road,46
juja road,5
juja road,52
juja road,54
juja road,55
juja road,55
juja road,56
juja road,57
juja road,57
juja road,59A
juja road,65
juja road,74
juja road,9
junction mall,1
junction mall,14
junction mall,23
junction mall,24
junction mall,31
junction mall,32
junction mall,42
junction mall,66
junction mall,71
junction mall,83
kabete technical college,49A
kabuku,84
kahawa west mugumoini road,88
kamiti road,42
kamiti road,8
kamiti road,88
kamukunji,15
kamukunji,22
kamukunji,54
kamukunji,55
kamukunji,6
kamukunji,75
kamukunji,77
kamukunji,8
kamukunji,82
kamukunji,87
kamukunji pol,62
kamunde road,32
kamunde road,55
kamunde road,56
kamunde road,9
kangemi,16
kangemi,17
kangemi,49A
kangemi,67
kangundo road,14
kangundo road,19A
kangundo road,33
kangundo road,33A
kangundo road,47
kangundo road,48
kangundo road,52
kangundo road,58
kangundo road,74
karen,23
karen,24
karen,71
kariobangi round about,14
kariobangi round about,3
kariobangi round about,32
kariobangi round about,33A
kariobangi round about,41
kariobangi round about,54
kariobangi round about,55
kariobangi round about,56
kariobangi round about,9
kariobangi south,2
kariobangi south,2A
kariobangi south,53
kariokor market,11
kariokor market,22
kariokor market,24
kariokor market,25
kariokor market,3
kariokor market,32
kariokor market,33A
kariokor market,46
kariokor market,5
kariokor market,52
kariokor market,54
kariokor market,55
kariokor market,57
kariokor market,59A
kariokor market,74
kariokor market,78
kariokor market,79
kariokor market,80
kasarani,19
kasarani,78
katani road,89
katani road,89B
katani road,89C
kawangware road,11
kawangware road,12
kawangware road,59
kawangware road,59A
kencom,13
kencom,14
kencom,2
kencom,28
kencom,29
kencom,3
kencom,33A
kencom,49
kencom,51
kencom,53
kencom,56
kencom,58
kencom,9
kenyatta avenue,1
kenyatta avenue,11
kenyatta avenue,12
kenyatta avenue,16
kenyatta avenue,17
kenyatta avenue,2
kenyatta avenue,20
kenyatta avenue,24
kenyatta avenue,27
kenyatta avenue,32
kenyatta avenue,36
kenyatta avenue,42
kenyatta avenue,48
kenyatta avenue,51
kenyatta avenue,56
kenyatta avenue,66
kenyatta avenue,71
kenyatta avenue,83
kenyatta avenue,88
kiambu road,15
kiambu road,77
kiambu road,79
kiambu road,84
kiambu road,87
kiambu road,87
kibera drive ,2
kibera drive,20
kibera drive,21
kibera drive,26
kibera drive,2A
kibera drive,36
kibera drive,36A
kibera drive,9
kiganjo avenue mombasa road,41
kiganjo avenue mombasa road,54
kikuyu road,1
kikuyu road,16
kikuyu road,64
kikuyu road,66
kikuyu road,67
kileleshwa,26
kileleshwa,44
kileleshwa,46
kileleshwa,55
kilimani,2
kilimani,21
kilimani,26
kilimani,2A
kilimani,36
kilimani,36A
kilimani,4
kilimani,5
kilimani,9
kimathi street kenyatta avenue,13
kimathi street kenyatta avenue,14
kimathi street kenyatta avenue,2
kimathi street kenyatta avenue,20
kimathi street kenyatta avenue,28
kimathi street kenyatta avenue,29
kimathi street kenyatta avenue,3
kimathi street kenyatta avenue,33A
kimathi street kenyatta avenue ,36
kimathi street kenyatta avenue,48
kimathi street kenyatta avenue,49
kimathi street kenyatta avenue,51
kimathi street kenyatta avenue,53
kimathi street kenyatta avenue,56
kimathi street kenyatta avenue,58
kimathi street kenyatta avenue,83
kimathi street kenyatta avenue,9
kingeero,39
kinka,37
kinka,38
kinyanjui road,14
kinyanjui road,31
kinyanjui road,32
kinyanjui road,42
kipande road,39
kipande road,39A
kipande road,46
kipande road,76A
kitengela road,27A
kmtc,1
kmtc,10
kmtc,20
kmtc,21
kmtc,23
kmtc,24
kmtc,27
kmtc,28
kmtc,29
kmtc,2A
kmtc,30A
kmtc,31
kmtc,32
kmtc,33A
kmtc,36
kmtc,36A
kmtc,4
kmtc,53
kmtc,66
kmtc,71
knh,2A
knh,3
knh,30A
komarock road,2
komarock road,2A
komarock road,3
komarock road,53
komarock road,54
kopo road,41
kpcu,12
kpcu,13
kpcu,15
kpcu,22
kpcu,23
kpcu,25
kpcu,31
kpcu,36
kpcu,41
kpcu,42
kpcu,48
kpcu,49
kpcu,49A
kpcu,51
kpcu,55
kpcu,56
kpcu,58
kpcu,6
kpcu,62
kpcu,7
kpcu,77
kpcu,86
kpcu,87
kpcu,89
kpcu,89B
kungu karumba,26
kungu karumba,27
kungu karumba,27A
lamu road,31
landhies road,13
landhies road,2
landhies road,20
landhies road,23
landhies road,27
landhies road,27A
landhies road,28
landhies road,30
landhies road,33
landhies road,36
landhies road,43
landhies road,44
landhies road,47
landhies road,48
landhies road,49
landhies road,49A
landhies road,50
landhies road,51
landhies road,53
landhies road,58
landhies road,7
landhies road,86
landhies road,89
landhies road,89B
langata road,25
langata road,26
langata road,27
langata road,27A
langata road,55
langata road,55
langata road,64
langata road,64
langata road,72
langata road,73
likoni road,26
likoni road,2A
likoni road,65
likoni road,88
likoni road,89B
limuru road,34
limuru road,47
limuru road,50
limuru road,52
limuru road,63
limuru road,63A
limuru road,76
limuru road,84
limuru road,85
lower kabete road,39
lower kabete road,39A
lunga lunga road,30A
lunga lunga road,36A
lusaka road,2A
lusaka road,30A
lusaka road,36A
lusaka road,86
lusaka road,89
lusaka road,89B
mab,22
mab,65
mab,74
macharia road,44
macharia road,46
magadi road,25
magadi road,26
magadi road,72
makadara,2
makadara,27
makadara,27A
makadara,30
makadara,33
makadara,36
makadara,47
makadara,51
makadara,53
maktaba kuu,23
maktaba makuu,31
mandera road,44
mandera road,46
manyanja road,12
manyanja road,36
manyanja road,36A
mara road,13
mara road,16
mara road,3
mara road,34
mara road,35
maringo,23
masimba,13
masimba,14
masimba,49
masimba,49A
masimba,50
matasia,71
mater hospital,17
mater hospital,57
mater hospital,63
mater hospital,63A
mathare north road,22
mathare north road,65
mathare road,11
mathare road,46
mathare road,57
mayanja road,13
mayanja road,49
mayanja road,49A
mayanja road,50
mbagathi road,10
mbagathi road,10
mbagathi road,27
mbagathi road,27A
mbagathi road,28
mbagathi road,28
mbagathi road,29
mbagathi road,29
mbagathi road,30A
mbagathi road,30A
mbagathi road,33
mbagathi road,33
mbagathi road,33A
mbagathi road,33A
mbagathi road,53
mbagathi road,53
mbagathi road,55
mca,38
meru–nairobi highway,82
meru road,78
meru road,79
meru road,80
milimani road,88
mlolongo,18
mlolongo,18A
mlolongo,19
mlolongo,19A
mlolongo,69
mlolongo,70
moi avenue,12
moi avenue,13
moi avenue,14
moi avenue,15
moi avenue,2
moi avenue,20
moi avenue,22
moi avenue,28
moi avenue,29
moi avenue,3
moi avenue,30
moi avenue,33A
moi avenue,36
moi avenue,37
moi avenue,38
moi avenue,41
moi avenue,42
moi avenue,48
moi avenue,49
moi avenue,49A
moi avenue,51
moi avenue,53
moi avenue,56
moi avenue,57
moi avenue,58
moi avenue,6
moi avenue,62
moi avenue,7
moi avenue,71
moi avenue,74
moi avenue,75
moi avenue,77
moi avenue,8
moi avenue,82
moi avenue,86
moi avenue,87
moi avenue,89
moi avenue,89B
moi avenue,9
moi drive,12
moi drive,14
mombasaa road,41
mombasa road,18
mombasa road,18A
mombasa road,19
mombasa road,19A
mombasa road,29
mombasa road,37
mombasa road,38
mombasa road,45
mombasa road,45
mombasa road,54
mombasa road,7
mombasa road,70
mombasa road,86
mombasa road,89
mombasa road,89B
mombasa road,89C
mondlane,88
mpaka road,47
mpaka road,50
mpaka road,52
mpaka road,63
mtongwe road,10
mtongwe road,28
mtongwe road,29
mtongwe road,30A
mtongwe road,33
mtongwe road,33A
mtongwe road,53
mucatha,85
muhoho avenue,41
muhoho avenue,41
muhoho avenue,45
muhoho avenue,54
muhoho avenue,54
muinami st.,56
muinami street,41
muinami street,59
muinami street,9
mumias south road,2
mumias south road,28
mumias south road,2A
mumias south road,31
mumias south road,43
mumias south road,47
mumias south road,48
mumias south road,53
muranga road,10
muranga road,21
muranga road,34
muranga road,35
muranga road,47
muranga road,50
muranga road,52
muranga road,63
muranga road,63A
muranga road,68
muranga road,76
muranga road,81
muranga road,84
muranga road,85
muranga road,88
muratha road,86
museum hill,15
museum hill,18
museum  hill,45
museum hill,62
museum hill,7
muthaiga,34
muthaiga,35
muthaiga,68
muthaiga,76
muthaiga,87
muthaiti avenue,55
mutindwa market,12
mwiki road,10
mwiki road,62
mwiki road,78
mwimuto,39A
nairobi hospital,5
nairobi–namanga road,18
nairobi–namanga road,19
nairobi–namanga road,19A
nairobi–namanga road,69
nairobi–namanga road,70
naivasha road,1
naivasha road,14
naivasha road,32
naivasha road,42
naivasha road,49
naivasha road,66
naivasha road,83
ndenderu,84
ndumberi,87
ngara,15
ngara,22
ngara,34
ngara,55
ngara,57
ngara,59A
ngara,6
ngara,62
ngara,74
ngara,75
ngara,76
ngara,77
ngara,78
ngara,79
ngara,8
ngara,80
ngara,82
ngara,87
ngecha road,39A
ngong,71
ngong road,1
ngong road,10
ngong road,14
ngong road,20
ngong road,21
ngong road,23
ngong road,24
ngong road,27
ngong road,28
